year,president,party,sentence
1945,Truman,Democratic,PRESIDENT HARRY S.
1945,Truman,Democratic,"TRUMAN'S ADDRESS BEFORE A JOINT SESSION OF THE CONGRESS April 16, 1945 Mr."
1945,Truman,Democratic,"Speaker, Mr."
1945,Truman,Democratic,"President, Members of the Congress: It is with a heavy heart that I stand before you, my friends and colleagues, in the Congress of the United States."
1945,Truman,Democratic,"Only yesterday, we laid to rest the mortal remains of our beloved President, Franklin Delano Roosevelt."
1945,Truman,Democratic,"At a time like this, words are inadequate."
1945,Truman,Democratic,The most eloquent tribute would be a reverent silence.
1945,Truman,Democratic,"Yet, in this decisive hour, when world events are moving so rapidly, our silence might be misunderstood and might give comfort to our enemies."
1945,Truman,Democratic,"In His infinite wisdom, Almighty God has seen fit to take from us a great man who loved, and was beloved by, all humanity."
1945,Truman,Democratic,No man could possibly fill the tremendous void left by the passing of that noble soul.
1945,Truman,Democratic,"No words can ease the aching hearts of untold millions of every race, creed and color."
1945,Truman,Democratic,The world knows it has lost a heroic champion of justice and freedom.
1945,Truman,Democratic,Tragic fate has thrust upon us grave responsibilities.
1945,Truman,Democratic,We must carry on.Our departed leader never looked backward.
1945,Truman,Democratic,He looked forward and moved forward.
1945,Truman,Democratic,That is what he would want us to do.
1945,Truman,Democratic,That is what America will do.
1945,Truman,Democratic,"So much blood has already been shed for the ideals which we cherish, and for which Franklin Delano Roosevelt lived and died, that we dare not permit even a momentary pause in the hard fight for victory."
1945,Truman,Democratic,"Today, the entire world is looking to America for enlightened leadership to peace and progress."
1945,Truman,Democratic,"Such a leadership requires vision, courage and tolerance."
1945,Truman,Democratic,It can be provided only by a united nation deeply devoted to the highest ideals.
1945,Truman,Democratic,With great humility I call upon all Americans to help me keep our nation united in defense of those ideals which have been so eloquently proclaimed by Franklin Roosevelt.
1945,Truman,Democratic,I want in turn to assure my fellow Americans and all of those who love peace and liberty throughout the world that I will support and defend those ideals with all my strength and all my heart.
1945,Truman,Democratic,That is my duty and I shall not shirk it.
1945,Truman,Democratic,"So that there can be no possible misunderstanding, both Germany and Japan can be certain, beyond any shadow of a doubt, that America will continue the fight for freedom until no vestige of resistance remains!"
1945,Truman,Democratic,We are deeply conscious of the fact that much hard fighting is still ahead of us.
1945,Truman,Democratic,"Having to pay such a heavy price to make complete victory certain, America will never become a party to any plan for partial victory!"
1945,Truman,Democratic,To settle for merely another temporary respite would surely jeopardize the future security of all the world.
1945,Truman,Democratic,"Our demand has been, and it remains-Unconditional Surrender!"
1945,Truman,Democratic,We will not traffic with the breakers of the peace on the terms of the peace.
1945,Truman,Democratic,The responsibility for making of the peace-and it is a very grave responsibility-must rest with the defenders of the peace.
1945,Truman,Democratic,We are not unconscious of the dictates of humanity.
1945,Truman,Democratic,We do not wish to see unnecessary or unjustified suffering.
1945,Truman,Democratic,But the laws of Go d and of man have been violated and the guilty must not go unpunished.
1945,Truman,Democratic,Nothing shall shake our determination to punish the war criminals even though we must pursue them to the ends of the earth.
1945,Truman,Democratic,Lasting peace can never be secured if we permit our dangerous opponents to plot future wars with impunity at any mountain retreat - however distant.
1945,Truman,Democratic,"In this shrinking world, it is futile to seek safety behind geographical barriers."
1945,Truman,Democratic,Real security will be found only in law and in justice.
1945,Truman,Democratic,"Here in America, we have labored long and hard to achieve a social order worthy of our great heritage."
1945,Truman,Democratic,"In our time, tremendous progress has been made toward a really democratic way of life."
1945,Truman,Democratic,Let me assure the forward-looking people of America that there w ill be no relaxation in our efforts to improve the lot of the common people.
1945,Truman,Democratic,"In the difficult days ahead, unquestionably we shall face problems of staggering proportions."
1945,Truman,Democratic,"However, with the faith of our fathers in our hearts, we do not fear the future."
1945,Truman,Democratic,"On the battlefields, we have frequently faced overwhelming odds - and won!"
1945,Truman,Democratic,"At home, Americans will not be less resolute!"
1945,Truman,Democratic,We shall never cease our struggle to preserve and maintain our American way of life.
1945,Truman,Democratic,"At this moment, America, along with her brave Allies, is paying again a heavy price for the defense of our freedom."
1945,Truman,Democratic,"With characteristic energy, we are assisting in the liberation of entire nations."
1945,Truman,Democratic,"Gradually, the shackles of slavery are being broken by t he forces of freedom."
1945,Truman,Democratic,All of us are praying for a speedy victory.
1945,Truman,Democratic,Every day peace is delayed costs a terrible toll.
1945,Truman,Democratic,The armies of liberation today are bringing to an end Hitler's ghastly threat to dominate the world.
1945,Truman,Democratic,Tokyo rocks under the weight of our bombs.
1945,Truman,Democratic,The grand strategy of the United Nations' war has been determined - due in no small measure to the vision of our departed Commander in Chief.
1945,Truman,Democratic,"We are now carrying out our part of that strategy under the able direction of Admiral Leahy, General Marshall, A dmiral King, General Arnold, General Eisenhower, Admiral Nimitz and General MacArthur."
1945,Truman,Democratic,I want the entire world to know that this direction must and will remain-unchanged and unhampered!
1945,Truman,Democratic,Our debt to the heroic men and valiant women in the service of our country can never be repaid.
1945,Truman,Democratic,They have earned our undying gratitude.
1945,Truman,Democratic,America will never forget their sacrifices.
1945,Truman,Democratic,"Because of these sacrifices, the dawn of justice and freedom throughout th e world slowly casts its gleam across the horizon."
1945,Truman,Democratic,"Our forefathers came to our rugged shores in search of religious tolerance, political freedom and economic opportunity."
1945,Truman,Democratic,"For those fundamental rights, they risked their lives."
1945,Truman,Democratic,"We well know today that such rights can be preserved only by constant vigilance , the eternal price of liberty!"
1945,Truman,Democratic,"Within an hour after I took the oath of office, I announced that the San Francisco Conference would proceed."
1945,Truman,Democratic,We will face the problems of peace with the same courage that we have faced and mastered the problems of war.
1945,Truman,Democratic,In the memory of those who have made the supreme sacrifice-in the memory of our fallen President-we shall not fail!
1945,Truman,Democratic,It is not enough to yearn for peace.
1945,Truman,Democratic,"We must work, and if necessary, fight for it."
1945,Truman,Democratic,The task of creating a sound international organization is complicated and difficult.
1945,Truman,Democratic,"Yet, without such organization, the rights of man on earth cannot be protected."
1945,Truman,Democratic,Machi nery for the just settlement of international differences must be found.
1945,Truman,Democratic,"Without such machinery, the entire world will have to remain an armed camp."
1945,Truman,Democratic,"The world will be doomed to deadly conflict, devoid of hope for real peace."
1945,Truman,Democratic,"Fortunately, people have retained hope for a durable peace."
1945,Truman,Democratic,Thoughtful people have always had faith that ultimately justice must triumph.
1945,Truman,Democratic,"Past experience surely indicates that, without justice, an enduring peace becomes impossible."
1945,Truman,Democratic,"In bitter despair, some people have come to believe that wars are inevitable."
1945,Truman,Democratic,"With tragic fatalism, they insist that wars have always been, of necessity, and of necessity wars always will be."
1945,Truman,Democratic,"To such defeatism, men and women of good will must not and can not yield."
1945,Truman,Democratic,The outlook for humanity is not so hopeless.
1945,Truman,Democratic,"During the dark hours of this horrible war, entire nations were kept going by something intangible-hope!"
1945,Truman,Democratic,"When warned that abject submission offered the only salvation against overwhelming power, hope showed the way to victory."
1945,Truman,Democratic,Hope has become the secret weapon of the forces of liberation!
1945,Truman,Democratic,Aggressors could not dominate the human mind.
1945,Truman,Democratic,"As long as hope remains, the spirit of man will never be crushed."
1945,Truman,Democratic,But hope alone was not and is not sufficient to avert war.
1945,Truman,Democratic,We must not only have hope but we must have faith enough to work with other peace-loving nations to maintain the peace.
1945,Truman,Democratic,Hope was not enough to beat back the aggressors as long as the peace-loving nations were unwilling to come to each other's defense.
1945,Truman,Democratic,The aggressors were beaten back only when the peace-loving nations united to defend themselves.
1945,Truman,Democratic,If wars in the future are to be prevented the nations must be united in their determination to keep the peace under law.
1945,Truman,Democratic,Nothing is more essential to the future peace of the world than continued cooperation of the nations which had to muster the force necessary to defeat the conspiracy of the Axis powers to dominate the world.
1945,Truman,Democratic,"While these great states have a special responsibility to enforce the peace, their responsibility is based upon the obligations resting upon all states, large and small, not to use force in international relations except in the defense of law."
1945,Truman,Democratic,The respon sibility of the great states is to serve and not to dominate the world.
1945,Truman,Democratic,"To build a foundation of enduring peace we must not only work in harmony with our friends abroad, but we must have the united support of our own people."
1945,Truman,Democratic,"Even the most experienced pilot cannot bring a ship safely into harbor, unless he has the full cooperation of the crew."
1945,Truman,Democratic,"For the benefit of all, every individual must do his duty."
1945,Truman,Democratic,"I appeal to every American, regardless of party, race, creed, or color, to support our efforts to build a strong and lasting United Nations Organization."
1945,Truman,Democratic,"You, the Members of the Congress, surely know how I feel."
1945,Truman,Democratic,Only with your help can I hope to complete one of the greatest tasks ever assigned to a public servant.
1945,Truman,Democratic,"With Divine guidance, and your help, we will find the new passage to a far better world, a kindly and friendly world, with just and lasting peace."
1945,Truman,Democratic,"With confidence, I am depending upon all of you."
1945,Truman,Democratic,"To destroy greedy tyrants with dreams of world domination, we cannot continue in successive generations to sacrifice our finest youth."
1945,Truman,Democratic,"In the name of human decency and civilization, a more rational method of deciding national differences must and will be found!"
1945,Truman,Democratic,America must assist suffering humanity back along the path of peaceful progress.
1945,Truman,Democratic,This will require time and tolerance.
1945,Truman,Democratic,"We shall need also an abiding faith in the people, the kind of faith and courage which Franklin Delano Roosevelt always had!"
1945,Truman,Democratic,"Today, America has become one of the most powerful forces for good on earth."
1945,Truman,Democratic,We must keep it so.
